date,miner_revenue
2012-01-04,41706.1198226226
2012-01-05,51364.28838222955
2012-01-06,57301.639043171
2012-01-07,62697.75751146919
2012-01-08,58136.78793472684
2012-01-09,51833.85123555532
2012-01-10,45501.87609133536
2012-01-11,52824.0903171231
2012-01-12,52963.50526101705
2012-01-13,44957.29567899081
2012-01-14,50711.41754068356
2012-01-15,48935.91701434831
2012-01-16,58433.38020754393
2012-01-17,43745.96106827709
2012-01-18,37933.18589907033
2012-01-19,47831.59934138883
2012-01-20,46358.58491988263
2012-01-21,50586.78746531755
2012-01-22,42902.70390395962
2012-01-23,53946.84194433365
2012-01-24,43613.85298126716
2012-01-25,42927.7627641087
2012-01-26,36855.81268087041
2012-01-27,37396.72446988482
2012-01-28,40859.58222920963
2012-01-29,46169.51162962937
2012-01-30,47376.02545174847
2012-01-31,41256.35440582367
2012-02-01,42851.86973012026
2012-02-02,48565.22119386606
2012-02-03,47081.91342273803
2012-02-04,46152.68759144987
2012-02-05,40383.43374415704
2012-02-06,40099.2403928763
2012-02-07,38623.70228258187
2012-02-08,40628.49572895132
2012-02-09,42380.53288338284
2012-02-10,40851.49306526485
2012-02-11,41744.6782435623
2012-02-12,43587.14116638088
2012-02-13,36231.33022264147
2012-02-14,30658.8744710229
2012-02-15,28646.72040970229
2012-02-16,29501.59647715247
2012-02-17,33427.01308672311
2012-02-18,36242.99676440923
2012-02-19,34600.99069929008
2012-02-20,30628.93693808312
2012-02-21,27766.13218275865
2012-02-22,35366.01490816315
2012-02-23,41687.20455722288
2012-02-24,37489.74634716976
2012-02-25,39451.95352088981
2012-02-26,36961.7155278861
2012-02-27,38219.98988903801
2012-02-28,38920.75049885601
2012-02-29,43513.59881867449
2012-03-01,37189.1048021508
2012-03-02,31623.42000864971
2012-03-03,26102.76120254565
2012-03-04,32837.13165516188
2012-03-05,36117.06478031236
2012-03-06,34234.18339633357
2012-03-07,37922.32940280233
2012-03-08,38475.33400375496
2012-03-09,40861.81872755318
2012-03-10,36814.5428105168
2012-03-11,32725.66850454898
2012-03-12,40716.40341199926
2012-03-13,42259.51778198086
2012-03-14,36926.55288612618
2012-03-15,31465.57344742964
2012-03-16,40926.75846805846
2012-03-17,44053.56719089425
2012-03-18,42254.50953816104
2012-03-19,33585.82221123715
2012-03-20,38722.9623164488
2012-03-21,37968.06652978011
2012-03-22,37384.11210514622
2012-03-23,29473.79892391653
2012-03-24,43005.60263696328
2012-03-25,35748.9928645914
2012-03-26,34907.17568355362
2012-03-27,37540.81222919418
2012-03-28,36100.62213231422
2012-03-29,33554.85657808546
2012-03-30,37436.75731617482
2012-03-31,41624.44360927027
2012-04-01,34245.41469496741
2012-04-02,28909.71162918671
2012-04-03,32955.94337784808
2012-04-04,33726.72906279648
2012-04-05,28800.14568876519
2012-04-06,33570.82393027673
2012-04-07,30214.19003328944
2012-04-08,35977.409979542
2012-04-09,35428.63582415791
2012-04-10,35561.09651923193
2012-04-11,34768.96714400688
2012-04-12,31149.59517310153
2012-04-13,30379.71066377063
2012-04-14,34528.68882717565
2012-04-15,26602.12582183806
2012-04-16,37122.5430935916
2012-04-17,33608.11892348006
2012-04-18,33268.22470709402
2012-04-19,40111.63332093201
2012-04-20,41369.4508857179
2012-04-21,40333.63905825217
2012-04-22,36449.93970093437
2012-04-23,33766.94662819667
2012-04-24,35211.14234378564
2012-04-25,32615.42738050203
2012-04-26,39570.08238116508
2012-04-27,34490.45685536697
2012-04-28,37876.87221156699
2012-04-29,43762.17257499647
2012-04-30,44208.41533251487
2012-05-01,42512.4585329106
2012-05-02,37770.34333466997
2012-05-03,40098.75999015024
2012-05-04,40846.40378589528
2012-05-05,42429.71244077342
2012-05-06,41446.44282449564
2012-05-07,43195.72196191785
2012-05-08,44457.90034148785
2012-05-09,41419.75015177975
2012-05-10,31415.73490153166
2012-05-11,35480.20410008657
2012-05-12,31462.38148126678
2012-05-13,34567.9246974749
2012-05-14,34944.44821146905
2012-05-15,32830.28136220668
2012-05-16,30633.14472309544
2012-05-17,29572.66489720974
2012-05-18,37193.20602962655
2012-05-19,38229.61714848247
2012-05-20,35222.9651487677
2012-05-21,32165.29768013543
2012-05-22,29292.30657184668
2012-05-23,33458.44057149897
2012-05-24,32093.43459590886
2012-05-25,31168.85289921338
2012-05-26,36312.54111251057
2012-05-27,40670.25249901132
2012-05-28,36564.27842094438
2012-05-29,32532.22271264659
2012-05-30,33731.11160368058
2012-05-31,35889.10888130278
2012-06-01,40039.66714026577
2012-06-02,42029.28137604443
2012-06-03,39675.87099073552
2012-06-04,40912.5362773473
2012-06-05,39896.14359853966
2012-06-06,41844.16011350402
2012-06-07,38981.5347389741
2012-06-08,39796.63216423165
2012-06-09,47385.90126356547
2012-06-10,45500.03047093061
2012-06-11,39172.94399547637
2012-06-12,44602.39608801089
2012-06-13,44627.23207505823
2012-06-14,46756.15069654867
2012-06-15,52151.51679089532
2012-06-16,50377.05465033779
2012-06-17,50823.82572766758
2012-06-18,55255.67985020245
2012-06-19,47929.82326425709
2012-06-20,48514.7049240186
2012-06-21,45507.83926840398
2012-06-22,45160.00259535029
2012-06-23,52917.51433873223
2012-06-24,41685.60610731073
