date,lth_supply
2011-10-31,3700031.20374773
2011-11-01,3711430.17498479
2011-11-02,3729999.0958329
2011-11-03,3736952.47218516
2011-11-04,3743277.57824521
2011-11-05,3813180.59502816
2011-11-06,3831580.02949696
2011-11-07,3852815.26917245
2011-11-08,3861262.70379257
2011-11-09,3866954.91481849
2011-11-10,3925766.57770628
2011-11-11,3960651.48827422
2011-11-12,3977505.98747485
2011-11-13,3993394.41615284
2011-11-14,4011319.07409191
2011-11-15,4018552.05690587
2011-11-16,4206713.20054772
2011-11-17,4236263.77204307
2011-11-18,4301311.25332847
2011-11-19,4319352.49360894
2011-11-20,4329345.57402489
2011-11-21,4403857.52782998
2011-11-22,4411627.63517209
2011-11-23,4446499.61625399
2011-11-24,4459732.88834668
2011-11-25,4467592.33801815
2011-11-26,4497676.62138302
2011-11-27,4509464.16255796
2011-11-28,4518392.80264867
2011-11-29,4566914.18607482
2011-11-30,4582933.21235172
2011-12-01,4591205.85639968
2011-12-02,4611439.07462169
2011-12-03,4655849.95799286
2011-12-04,4697316.77475137
2011-12-05,4700543.18702369
2011-12-06,4711409.29897444
2011-12-07,4727551.65572469
2011-12-08,4732161.62703883
2011-12-09,4739439.59505646
2011-12-10,4745666.96381017
2011-12-11,4743293.16684271
2011-12-12,4762578.94665128
2011-12-13,4776548.52819335
2011-12-14,4785858.5034435
2011-12-15,4796325.20069127
2011-12-16,4799998.17936753
2011-12-17,4810013.14428096
2011-12-18,4814923.8359451
2011-12-19,4814709.12738186
2011-12-20,4815744.56134827
2011-12-21,4823410.84943438
2011-12-22,4827430.09109748
2011-12-23,4835747.02480563
2011-12-24,4842430.9285697
2011-12-25,4843664.80765741
2011-12-26,4847395.51829853
2011-12-27,4857636.43917192
2011-12-28,4863770.55152913
2011-12-29,4871085.32616703
2011-12-30,4887177.44753201
2011-12-31,4894084.54503578
2012-01-01,4909662.83270607
2012-01-02,4903465.70252074
2012-01-03,4907321.57611686
2012-01-04,4917601.07118024
2012-01-05,4924047.77014262
2012-01-06,4927270.23199748
2012-01-07,4930817.85597302
2012-01-08,4940717.15006519
2012-01-09,4948880.00757412
2012-01-10,4989692.21187001
2012-01-11,4995245.3011811
2012-01-12,4970072.65122962
2012-01-13,4974454.37938178
2012-01-14,4977479.63956965
2012-01-15,4980458.62476649
2012-01-16,4987106.95719769
2012-01-17,4996289.51576249
2012-01-18,5000424.87556353
2012-01-19,5003669.40288637
2012-01-20,5004659.40996872
2012-01-21,5043130.39647892
2012-01-22,5045902.3347985
2012-01-23,5048789.29717897
2012-01-24,5052752.24987776
2012-01-25,5055870.31562451
2012-01-26,5059223.75886283
2012-01-27,5119404.39328972
2012-01-28,5124280.98542925
2012-01-29,5128226.11885373
2012-01-30,5131378.3633579
