date,realized_price
2016-12-14,412.1017397836691
2016-12-15,412.6618962903161
2016-12-16,413.234359681468
2016-12-17,413.7631105875476
2016-12-18,414.3470153917617
2016-12-19,414.7444917627573
2016-12-20,415.4677460882602
2016-12-21,417.3227491909342
2016-12-22,419.410202334995
2016-12-23,422.4541214600875
2016-12-24,423.298649262672
2016-12-25,423.7970224526149
2016-12-26,424.8293896640905
2016-12-27,426.4835596885213
2016-12-28,429.039873017045
2016-12-29,431.1657553687015
2016-12-30,432.6889348984763
2016-12-31,433.3544797535695
2017-01-01,434.6799126880817
2017-01-02,437.1551151077466
2017-01-03,439.4875179270583
2017-01-04,444.3652407397806
2017-01-05,449.1595431714891
2017-01-06,448.4242619458184
2017-01-07,447.9177723514557
2017-01-08,448.5405382047027
2017-01-09,448.9914181839436
2017-01-10,449.5078681205843
2017-01-11,448.2308090440557
2017-01-12,447.7019663685387
2017-01-13,447.8258874698003
2017-01-14,447.9180043403706
2017-01-15,447.9932007962202
2017-01-16,448.2569995933708
2017-01-17,449.5638458254094
2017-01-18,449.9572568112368
2017-01-19,450.5608918818862
2017-01-20,451.0211872815945
2017-01-21,451.7966874470791
2017-01-22,452.5779192674504
2017-01-23,453.235139831078
2017-01-24,454.0264300332363
2017-01-25,454.696012134136
2017-01-26,455.4353477471913
2017-01-27,455.9316233707024
2017-01-28,456.2707248123091
2017-01-29,457.6233502866427
2017-01-30,458.0474819911176
2017-01-31,459.0332336964213
2017-02-01,460.1869747953756
2017-02-02,461.4709292393427
2017-02-03,463.3514456468297
2017-02-04,464.2414332076926
2017-02-05,465.0883904134565
2017-02-06,466.2701589750238
2017-02-07,467.9363645554221
2017-02-08,469.2352883390475
2017-02-09,469.8643922424902
2017-02-10,470.8233764598051
2017-02-11,471.2483993946406
2017-02-12,471.8074448842949
2017-02-13,472.6971208368776
2017-02-14,473.46884916738
2017-02-15,473.9073789357823
2017-02-16,474.767171411701
2017-02-17,476.5113444934884
2017-02-18,477.3971675633673
2017-02-19,478.0380696920606
2017-02-20,478.8612347646007
2017-02-21,480.5931895618269
2017-02-22,483.160909463073
2017-02-23,485.3642250565887
2017-02-24,489.131770216611
2017-02-25,489.9561375683263
2017-02-26,490.6473221583481
2017-02-27,492.2789116464998
2017-02-28,493.6429073223438
2017-03-01,495.8993898423283
2017-03-02,498.7739169045836
2017-03-03,502.016126676749
2017-03-04,503.430263173875
2017-03-05,504.6353180835854
2017-03-06,506.9811838149321
2017-03-07,508.3158141893061
2017-03-08,509.1297977565002
2017-03-09,509.7190817763826
2017-03-10,510.7955558889802
2017-03-11,511.4348052765651
2017-03-12,512.3614065738163
2017-03-13,515.8500044710808
2017-03-14,517.1353151939797
2017-03-15,519.3886297249435
2017-03-16,520.8235792259237
2017-03-17,520.9300298452379
2017-03-18,520.410443655067
2017-03-19,520.8573249527392
2017-03-20,520.7557586643509
2017-03-21,522.3972117435604
2017-03-22,522.7031593564761
2017-03-23,522.7533539284374
2017-03-24,522.7416240173702
2017-03-25,522.2378124997083
2017-03-26,522.9824837793826
2017-03-27,523.7698470980122
2017-03-28,524.8648221594628
2017-03-29,525.2940778103881
2017-03-30,525.8344000074851
2017-03-31,527.4035687728757
2017-04-01,528.2763204984533
2017-04-02,529.106984793467
2017-04-03,530.817788203083
2017-04-04,531.8628331896502
2017-04-05,532.8786805456274
