date,addresses_nonzero_balance
2010-06-02,44796.0
2010-06-03,44805.0
2010-06-04,44904.0
2010-06-05,44988.0
2010-06-06,45087.0
2010-06-07,44992.0
2010-06-08,45076.0
2010-06-09,45142.0
2010-06-10,45261.0
2010-06-11,45359.0
2010-06-12,45444.0
2010-06-13,45532.0
2010-06-14,45561.0
2010-06-15,45694.0
2010-06-16,45768.0
2010-06-17,45878.0
2010-06-18,45958.0
2010-06-19,45980.0
2010-06-20,46111.0
2010-06-21,46218.0
2010-06-22,46295.0
2010-06-23,46429.0
2010-06-24,46509.0
2010-06-25,46646.0
2010-06-26,46775.0
2010-06-27,46878.0
2010-06-28,46970.0
2010-06-29,46999.0
2010-06-30,47013.0
2010-07-01,47100.0
2010-07-02,47133.0
2010-07-03,47248.0
2010-07-04,47196.0
2010-07-05,47229.0
2010-07-06,47340.0
2010-07-07,47366.0
2010-07-08,47467.0
2010-07-09,47607.0
2010-07-10,47655.0
2010-07-11,47832.0
2010-07-12,49462.0
2010-07-13,50355.0
2010-07-14,51176.0
2010-07-15,51683.0
2010-07-16,52240.0
2010-07-17,52254.0
2010-07-18,52191.0
2010-07-19,52309.0
2010-07-20,52470.0
2010-07-21,52517.0
2010-07-22,52716.0
2010-07-23,52880.0
2010-07-24,52963.0
2010-07-25,53046.0
2010-07-26,52699.0
2010-07-27,52763.0
2010-07-28,52833.0
2010-07-29,53017.0
2010-07-30,53094.0
2010-07-31,53228.0
2010-08-01,53362.0
2010-08-02,53477.0
2010-08-03,53536.0
2010-08-04,53703.0
2010-08-05,53820.0
2010-08-06,53862.0
2010-08-07,53878.0
2010-08-08,53991.0
2010-08-09,54073.0
2010-08-10,54149.0
2010-08-11,54212.0
2010-08-12,54406.0
2010-08-13,54463.0
2010-08-14,54645.0
2010-08-15,54743.0
2010-08-16,54798.0
2010-08-17,54908.0
2010-08-18,54916.0
2010-08-19,55031.0
2010-08-20,55103.0
2010-08-21,55223.0
2010-08-22,55295.0
2010-08-23,55360.0
2010-08-24,55446.0
2010-08-25,55596.0
2010-08-26,55598.0
2010-08-27,55670.0
2010-08-28,55771.0
2010-08-29,55909.0
2010-08-30,55990.0
2010-08-31,55996.0
2010-09-01,56082.0
2010-09-02,56118.0
2010-09-03,56246.0
2010-09-04,56342.0
2010-09-05,56397.0
2010-09-06,56450.0
2010-09-07,56541.0
2010-09-08,56639.0
2010-09-09,56730.0
2010-09-10,56835.0
2010-09-11,56938.0
2010-09-12,56911.0
2010-09-13,56982.0
2010-09-14,57072.0
2010-09-15,57162.0
2010-09-16,57178.0
2010-09-17,56798.0
2010-09-18,56926.0
2010-09-19,56939.0
2010-09-20,57051.0
2010-09-21,57082.0
2010-09-22,57193.0
2010-09-23,57263.0
2010-09-24,57380.0
2010-09-25,57431.0
2010-09-26,57508.0
2010-09-27,57248.0
2010-09-28,56333.0
2010-09-29,56381.0
2010-09-30,56491.0
2010-10-01,56564.0
2010-10-02,56621.0
2010-10-03,56690.0
2010-10-04,56642.0
2010-10-05,56695.0
2010-10-06,56769.0
2010-10-07,56778.0
2010-10-08,56690.0
2010-10-09,56700.0
2010-10-10,56807.0
2010-10-11,56885.0
2010-10-12,56954.0
2010-10-13,56779.0
2010-10-14,56865.0
2010-10-15,56963.0
2010-10-16,56893.0
2010-10-17,57020.0
2010-10-18,57140.0
2010-10-19,57372.0
2010-10-20,57495.0
2010-10-21,57523.0
2010-10-22,57596.0
2010-10-23,57730.0
2010-10-24,57898.0
2010-10-25,57967.0
2010-10-26,58191.0
2010-10-27,58241.0
2010-10-28,58260.0
2010-10-29,58294.0
2010-10-30,58407.0
2010-10-31,58429.0
2010-11-01,58505.0
2010-11-02,58617.0
2010-11-03,58711.0
2010-11-04,58771.0
2010-11-05,58719.0
2010-11-06,58856.0
2010-11-07,58981.0
2010-11-08,58356.0
2010-11-09,58449.0
2010-11-10,58587.0
2010-11-11,58748.0
2010-11-12,58849.0
2010-11-13,58930.0
2010-11-14,58798.0
2010-11-15,58945.0
2010-11-16,59016.0
2010-11-17,59181.0
2010-11-18,59339.0
2010-11-19,59372.0
2010-11-20,59535.0
2010-11-21,59667.0
2010-11-22,59778.0
