date,realized_marketcap
2011-11-29,37898544.7
2011-11-30,38005248.3
2011-12-01,38098129.45
2011-12-02,38147231.12
2011-12-03,38065596.61
2011-12-04,37990281.72
2011-12-05,38034113.75
2011-12-06,38099449.89
2011-12-07,37926023.81
2011-12-08,37932738.42
2011-12-09,37974036.12
2011-12-10,38000339.33
2011-12-11,38095901.11
2011-12-12,38131213.95
2011-12-13,38154234.3
2011-12-14,38117065.39
2011-12-15,38142474.25
2011-12-16,38166631.04
2011-12-17,38188187.83
2011-12-18,38206876.22
2011-12-19,38290590.97
2011-12-20,38472057.5
2011-12-21,38551682.53
2011-12-22,38600985.75
2011-12-23,38668210.98
2011-12-24,38694474.18
2011-12-25,38721216.64
2011-12-26,38787822.82
2011-12-27,38834997.1
2011-12-28,38900624.02
2011-12-29,38947181.02
2011-12-30,39000280.09
2011-12-31,39088725.6
2012-01-01,39163046.68
2012-01-02,39135235.4
2012-01-03,39258433.52
2012-01-04,39408918.56
2012-01-05,39830483.16
2012-01-06,40119547.16
2012-01-07,40233823.72
2012-01-08,40453007.12
2012-01-09,40711703.77
2012-01-10,40798996.98
2012-01-11,40976427.76
2012-01-12,41226012.03
2012-01-13,41382675.69
2012-01-14,41469663.97
2012-01-15,41563494.65
2012-01-16,41715084.25
2012-01-17,41868325.74
2012-01-18,41935568.74
2012-01-19,42064514.89
2012-01-20,42138979.47
2012-01-21,42239068.5
2012-01-22,42289903.03
2012-01-23,42355676.01
2012-01-24,42425997.08
2012-01-25,42490519.26
2012-01-26,42481323.11
2012-01-27,42463878.34
2012-01-28,42372927.38
2012-01-29,42389654.42
2012-01-30,42392210.5
2012-01-31,42368431.67
2012-02-01,42395011.08
2012-02-02,42482713.8
2012-02-03,42567463.26
2012-02-04,42642567.85
2012-02-05,42659153.51
2012-02-06,42625675.85
2012-02-07,42635512.71
2012-02-08,42661570.91
2012-02-09,42702885.44
2012-02-10,42714875.83
2012-02-11,42822609.08
2012-02-12,42856785.47
2012-02-13,42586570.13
2012-02-14,42385213.39
2012-02-15,42317013.97
2012-02-16,42218240.01
2012-02-17,42174975.81
2012-02-18,42038005.49
2012-02-19,42007532.98
2012-02-20,42008127.07
2012-02-21,41986451.43
2012-02-22,41972625.54
2012-02-23,42029721.34
2012-02-24,42087368.52
2012-02-25,42153036.7
2012-02-26,42189246.86
2012-02-27,42235878.68
2012-02-28,42289371.73
2012-02-29,42034723.5
2012-03-01,42074841.42
2012-03-02,42054391.86
2012-03-03,42032867.35
2012-03-04,42058796.69
2012-03-05,42103531.49
2012-03-06,42148806.58
2012-03-07,42193694.94
2012-03-08,42224492.21
2012-03-09,42267082.06
2012-03-10,42291462.82
2012-03-11,42286390.83
2012-03-12,42318556.82
2012-03-13,42382143.29
2012-03-14,42467497.56
2012-03-15,42536162.91
2012-03-16,42622213.83
2012-03-17,42675485.0
2012-03-18,42691545.84
2012-03-19,42693783.47
2012-03-20,42689350.82
2012-03-21,42636465.21
2012-03-22,42631019.96
2012-03-23,42661526.33
2012-03-24,42654090.33
2012-03-25,42647337.3
2012-03-26,42649293.63
2012-03-27,42664254.16
2012-03-28,42698420.86
2012-03-29,42704062.6
2012-03-30,42096389.23
2012-03-31,42144986.35
2012-04-01,42171778.43
2012-04-02,42207313.14
2012-04-03,42107268.87
2012-04-04,42147996.85
2012-04-05,42186383.53
2012-04-06,42238954.47
2012-04-07,42257870.65
2012-04-08,42282635.24
2012-04-09,42326427.39
2012-04-10,42346623.9
2012-04-11,42390459.9
2012-04-12,42442778.49
2012-04-13,42483764.04
2012-04-14,42539336.26
2012-04-15,42588292.53
2012-04-16,42652324.49
2012-04-17,42696544.03
2012-04-18,42770018.6
2012-04-19,42838390.59
2012-04-20,42920667.3
2012-04-21,42972784.29
2012-04-22,43045560.71
2012-04-23,43038826.06
2012-04-24,43072892.66
2012-04-25,43305220.65
2012-04-26,43280104.74
2012-04-27,43310216.77
2012-04-28,43330766.63
2012-04-29,43359274.23
2012-04-30,43288340.37
2012-05-01,43326626.34
2012-05-02,43378732.85
2012-05-03,43426292.3
2012-05-04,43478545.3
2012-05-05,43518715.17
2012-05-06,43458004.37
2012-05-07,43495044.07
2012-05-08,43525098.2
2012-05-09,43570749.58
2012-05-10,43601076.77
2012-05-11,43600258.3
2012-05-12,43753325.49
2012-05-13,43741195.14
2012-05-14,43740452.54
2012-05-15,43759388.52
2012-05-16,43754202.98
2012-05-17,43721167.85
2012-05-18,43685765.67
2012-05-19,43725606.79
2012-05-20,43606676.07
2012-05-21,43517793.54
2012-05-22,43527886.88
2012-05-23,43570949.56
2012-05-24,43487498.63
2012-05-25,43523449.46
2012-05-26,43445380.17
2012-05-27,43491999.82
2012-05-28,43524291.25
2012-05-29,43551375.35
2012-05-30,43584035.85
2012-05-31,43419246.1
2012-06-01,43484465.56
2012-06-02,43535345.28
2012-06-03,43578227.65
2012-06-04,43613236.0
2012-06-05,43697800.61
2012-06-06,43773998.33
2012-06-07,43849178.25
2012-06-08,43941943.88
2012-06-09,44019803.72
2012-06-10,44069846.55
2012-06-11,44148964.9
2012-06-12,44256915.3
2012-06-13,44376847.58
2012-06-14,44432658.06
2012-06-15,44599398.32
2012-06-16,44771149.46
2012-06-17,44896565.4
2012-06-18,44966836.77
2012-06-19,45071501.49
2012-06-20,45128103.52
2012-06-21,45255045.41
2012-06-22,45381344.74
2012-06-23,45467649.47
2012-06-24,45530289.4
2012-06-25,45551176.3
2012-06-26,45653110.65
2012-06-27,45749257.86
2012-06-28,45821493.67
2012-06-29,45898539.23
2012-06-30,45966569.8
2012-07-01,46033623.14
2012-07-02,46125600.18
2012-07-03,46190329.25
2012-07-04,46272809.41
2012-07-05,46359238.42
2012-07-06,46429801.16
2012-07-07,46432556.84
2012-07-08,46537078.68
2012-07-09,46652197.44
2012-07-10,46265725.34
2012-07-11,46417103.58
2012-07-12,46523571.45
2012-07-13,46797177.64
2012-07-14,46533885.82
2012-07-15,46618084.19
2012-07-16,46886189.21
2012-07-17,47444213.67
2012-07-18,47802820.64
2012-07-19,48147848.37
2012-07-20,48208816.2
2012-07-21,48438744.34
2012-07-22,48588518.49
2012-07-23,48730563.96
2012-07-24,48868801.06
2012-07-25,48980900.2
2012-07-26,49202732.76
2012-07-27,49402303.19
2012-07-28,49569821.29
2012-07-29,49739383.82
2012-07-30,49900344.07
2012-07-31,50192487.16
2012-08-01,50413393.49
2012-08-02,50908525.75
2012-08-03,51358758.63
2012-08-04,51705419.7
2012-08-05,51982375.36
2012-08-06,52278310.8
2012-08-07,52467607.47
2012-08-08,52865286.3
2012-08-09,53181721.14
2012-08-10,53396914.46
2012-08-11,53583858.81
2012-08-12,53783538.11
2012-08-13,54093010.68
2012-08-14,54480257.37
2012-08-15,54904177.99
2012-08-16,55533412.82
2012-08-17,56567753.18
2012-08-18,56578404.77
2012-08-19,56198484.81
2012-08-20,56542116.89
2012-08-21,56727294.38
2012-08-22,56925570.91
2012-08-23,56967733.24
2012-08-24,57088856.28
2012-08-25,57288459.07
2012-08-26,57453972.89
2012-08-27,58152107.88
2012-08-28,58454508.85
2012-08-29,58562902.68
2012-08-30,58636681.94
2012-08-31,59273261.03
2012-09-01,59171925.19
2012-09-02,59252381.22
2012-09-03,59377436.53
2012-09-04,59529757.76
2012-09-05,59735174.56
